names, ratings, addresses, classes, types, grades, student_nums, st_ratios, districts, 
Glen Haven Elementary School,7/10,10900 Inwood Avenue, Silver Spring, MD, 20902,Above average,Public district,PK-5,551,12:1,Montgomery County Public Schools
John H. Poole Middle School,9/10,17014 Tom Fox Avenue, Poolesville, MD, 20837,Above average,Public district,6-8,332,14:1,Montgomery County Public Schools
Kingsview Middle School,8/10,18909 Kingsview Road, Germantown, MD, 20874,Above average,Public district,6-8,1034,15:1,Montgomery County Public Schools
Rock Creek Valley Elementary School,7/10,5121 Russett Road, Rockville, MD, 20853,Above average,Public district,PK-5,437,10:1,Montgomery County Public Schools
Thomas S. Wootton High School,8/10,2100 Wootton Parkway, Rockville, MD, 20850,Above average,Public district,9-12,2206,18:1,Montgomery County Public Schools
Walter Johnson High School,8/10,6400 Rock Spring Drive, Bethesda, MD, 20814,Above average,Public district,9-12,2289,17:1,Montgomery County Public Schools
Wheaton Woods Elementary School,7/10,15101 Bauer Drive, Rockville, MD, 20853,Above average,Public district,PK-5,532,12:1,Montgomery County Public Schools
Tilden Middle School,8/10,11211 Old Georgetown Road, Rockville, MD, 20852,Above average,Public district,6-8,850,13:1,Montgomery County Public Schools
Stone Mill Elementary School,9/10,14323 Stonebridge View Drive, North Potomac, MD, 20878,Above average,Public district,PK-5,644,14:1,Montgomery County Public Schools
Ronald A. Mcnair Elementary School,8/10,13881 Hopkins Road, Germantown, MD, 20874,Above average,Public district,PK-5,841,17:1,Montgomery County Public Schools
Dr. Charles R. Drew Elementary School,8/10,1200 Swingingdale Drive, Silver Spring, MD, 20905,Above average,Public district,PK-5,488,12:1,Montgomery County Public Schools
Yorktown Elementary School,8/10,7301 Race Track Rd, Bowie, MD, 20715,Above average,Public district,K-5,375,15:1,Prince George's County Public Schools
Kingsford Elementary School,6/10,1401 Enterprise Road, Mitchellville, MD, 20721,Average,Public district,PK-6,580,19:1,Prince George's County Public Schools
Eleanor Roosevelt High School,6/10,7601 Hanover Parkway, Greenbelt, MD, 20770,Average,Public district,9-12,2506,19:1,Prince George's County Public Schools
Kenilworth Elementary School,6/10,12520 Kembridge Drive, Bowie, MD, 20715,Average,Public district,K-5,327,12:1,Prince George's County Public Schools
Samuel Ogle Middle School,7/10,4111 Chelmont Lane, Bowie, MD, 20715,Above average,Public district,6-8,836,14:1,Prince George's County Public Schools
Centreville Middle School,8/10,231 Ruthsburg Road, Centreville, MD, 21617,Above average,Public district,6-8,536,15:1,Queen Anne's County Public Schools
Church Hill Elementary School,7/10,631 Main Street, Church Hill, MD, 21623,Above average,Public district,PK-4,322,13:1,Queen Anne's County Public Schools
Grasonville Elementary School,6/10,5435 Main Street, Grasonville, MD, 21638,Average,Public district,PK-5,492,16:1,Queen Anne's County Public Schools
Crisfield Academy And High School,5/10,210 North Somerset Avenue, Crisfield, MD, 21817,Average,Public district,8-12,361,13:1,Somerset County Public Schools
Leonardtown Elementary School,7/10,22885 Duke Street, Leonardtown, MD, 20650,Above average,Public district,PK-5,492,17:1,St. Mary's County Public Schools
Piney Point Elementary School,7/10,44550 Tall Timbers Road, Tall Timbers, MD, 20690,Above average,Public district,PK-5,495,16:1,St. Mary's County Public Schools
Lettie Marshall Dent Elementary School,7/10,37840 New Market Turner Road, Mechanicsville, MD, 20659,Above average,Public district,PK-5,638,19:1,St. Mary's County Public Schools
Washington County Technical High School,8/10,50 West Oak Ridge Drive, Hagerstown, MD, 21740,Above average,Public district,11-12,544,14:1,Washington County Public Schools
Boonsboro Middle School,7/10,1 Jh Wade Drive, Boonsboro, MD, 21713,Above average,Public district,6-8,793,15:1,Washington County Public Schools
Clear Spring Middle School,7/10,12628 Broadfording Road, Clear Spring, MD, 21722,Above average,Public district,6-8,416,14:1,Washington County Public Schools
Old Forge Elementary School,7/10,21615 Old Forge Road, Hagerstown, MD, 21742,Above average,Public district,K-5,305,14:1,Washington County Public Schools
Smithsburg High School,8/10,66 North Main Street, Smithsburg, MD, 21783,Above average,Public district,9-12,763,17:1,Washington County Public Schools
Northwestern Elementary School,7/10,9975 Sharptown Road, Mardela Springs, MD, 21837,Above average,Public district,PK-5,302,18:1,Wicomico County Public Schools
Pittsville Elementary & Middle School,7/10,34404 Old Ocean City Road, Pittsville, MD, 21850,Above average,Public district,4-8,388,12:1,Wicomico County Public Schools
Pocomoke Middle School,6/10,800 8th Street, Pocomoke City, MD, 21851,Average,Public district,4-8,416,9:1,Worcester County Public Schools
Pocomoke High School,6/10,1817 Old Virginia Road, Pocomoke City, MD, 21851,Average,Public district,9-12,333,11:1,Worcester County Public Schools
Snow Hill Middle School,6/10,522 Coulbourne Lane, Snow Hill, MD, 21863,Average,Public district,4-8,360,9:1,Worcester County Public Schools
